name,hair,hair_details,comments
huF8AE42,brown,"brown with reddish highlights, a few scattered white hairs","My brother and I both had pale blond hair when we were children, which darkened as we hit elementary school age.  I found a single white hair when I was 25 and have been acquiring more very slowly since then.  They are scattered, isolated and not very noticeable unless you look closely."
hu5E55F5,brown,brown with some gray,I was born with very blond hair (a towhead) and as I grew older my color changed gradually.
huA8B443,,Salt and Pepper (Brown Pepper),"Until the grey started some years ago, my hair was dark brown."
huD0D79A,brown,,
huD95DAB,brown,Light brown with a little gray,I've always lightened/colored my hair and have always had trouble with my hair turning out with too much gold/red. 
huB6B648,brown,Brown and gray,
hu8D6607,brown,dark brown,
huB68207,red,,
hu26B551,brown,Light brown mixed with gray.,My hair was strawberry blonde until age four. Then became light brown with a reddish undertone.
hu5CD2C6,,light brown/grey,"childhood blonde;  later light brown; now brown, part grey"
huD92216,red,red,"red as a child, but now that I'm 66, it has turned more of a strawberry blond, very light in the summer when I am out in the garden all day, every day."
hu57C3BB,brown,Frizzy,I was initially brown with curly hair which stayed that way until I was about 2 years old. Then it became straight.
huB0CC9A,brown,Just average brownish hair,
hu5F5EB7,brown,starting to go grey,My hair was blonde as a child.  Dark blonde/light brown since about 7yrs.  Turning grey now.
hu4B3FF4,brown,dark brown with no reddish highlights,same color
hu97DF8E,black,black hair with red undertones,naturally black hair with red tones that show up in sunlight
huC96797,brown,,
hu05AE3F,brown,"Very curly, coarse, thin strands","In the future, You might want to consider a picture system similar to the eye color section with different hair types.  There are a few typing systems that some stylists use that you could model it off of (such as http://www.naturallycurly.com/hair-types, on this one, I am a solid 3B).  "
huEC68B1,gray,grey-on the white side,"hair was brown before turning grey, blonde as child"
huF7E042,brown,,
huE44F41,brown,"Light Brown, gray and white",Had white blonde hair from babyhood through  childhood. Was a dirty dish water blonde by Jr. Highschool.
hu9745B5,blonde,naturally beige blone with ash tones- recently greying around temples in a shocking white shade from temples to crown and a few single strands beyond that. ,"Born with reddish orange hair, turned bright blonde from ages 2-4 then went back to an orange blonde age 5-6, back to golden blonde thereafter, progressing to more beige in my 30's and now os beige with golden blonde accents. I'm told the undertone is ash, but I don't know what that means. It's a strange color, but never dark enough to be brown. The ""grey"" hair coming in from temple to temple started at age 42 and is more a bright and white, straight some spots and obnoxiously curly in others, only going back 1/4 inches into my crown area. Very annoying. Hair on legs and arms has always been fine light gold blonde."
hu2D6140,brown,light brown with gray,"I had very light blond hair as a child and it darked as I matured to a light brown.  At age 73 I have visible gray at the temple and in other areas.  My father also grayed late, and was not totally gray until approx. 80."
hu3DF8AD,brown,dark brown,"The hair on my head is dark brown, but my beard ranges from black to brown to red to blonde."
hu42FD5E,brown,light brown,born very blond. Also my beard is red
huAC3640,brown,Dark brown,Blond when a child
huA4E2CF,brown,,
huEBC5E7,brown,brown with graying,
hu117D1E,brown,Med brown,"I am 63 yrs old, few grey hairs, no dye, med brown hair with a few natural blond streaks. My hairdresser says my hair is very healthy."
hu86BC6B,brown,Light brown with deep blonde  (honey) natural higlights,Bon with very blonde hair. Hair has progressively gotten darker as I've aged. Hair still lightens significantly with sun exposure. Hair still on the very light end of the brown spectrum.
hu50405B,gray, grey,Blond early years to brown to grey
hu0D77CC,brown,,
hu21731A,brown,brown but with copper highlights in the sun,
hu9A06D5,brown,Light brown,
huF90C82,gray,much more salt than pepper,It was a not-special brown as a youngster.  Began turning gray in my late 20s.
hu2C7459,blonde,"Blonde overall, but significantly darker blonde in lower layers of hair.","My mother had blonde hair similar to mine, but it turned light brown following childbirth. I am nulliparous and intend to stay that way, so don't know if I would experience a similar shift."
hu2B76CC,,brown and grey,
huD2F73D,blonde,dirty blond,
hu90D19A,brown,light brown,born with strawberry blonde hair turned to a darker blonde when I got older. During my first pregnancy my hair turned brown and never turned back.
hu8BEDE1,white,mainly white with little grey,
hu7FA667,brown,Brown,
hu51FE08,gray,,Was light brown now mostly gray with some brown remaining
hu1B2689,black,"Very dark brown, almost black","Born with light hair, blondish."
hu3C0611,brown,medium-dark brown,
hu9D3638,brown,"brown, graying","My hair used to much fairer, even blondish up to the age of 2 or so."
huE9B698,blonde,,
hu2E4B9F,red,Red hair with only a few strands of gray starting.,"My hair has been red since birth. I have gone completely bald in front over the years, but half way over the top and both sides are full."
huFF2969,blonde,faded auburn,"Instead of turning white or grey, my hair lightened to a reddish blonde as I aged."
huEC6EEC,brown,,
hu9FEC32,gray,More silver than grey,"Yes, I was very blonde as a child.  My beard, when I was a young man, had definite red in it."
hu8BFB8B,brown,2/3 brown with 1/3 gray peppered throughout the hair,"Family history of early graying (e.g. maternal uncle 100% gray at age 16), though mine didn't noticeably gray until early 40's."
huEC0E19,brown,brown,
hu6E8157,brown,"dark brown, near black","I am beginning to gray around the temples.  

When I was younger (18-35?) about 1/2 my facial hair was dark brown (like my scalp hair), and 1/2 was red (like my mother's).  Now, about 1/2 my facial hair is dark brown (like my scalp hair), and about 1/2 is gray."
huAB5240,gray,silver gray,When I was younger I had brown hair and a redish-brown beard.
huCED936,brown,Dark brown ,"Not bald at all but but one uncle is, the other died of cancer but had all his hair at 60"
hu868BCC,brown,brown with grey,
hu67EBB3,brown,light brown,i was born blonde
huD7960A,brown,Dark Brown. ,"My hair is wilder and more difficult to control than other people's -- neither curly nor straight, and with more inconsistent behavior. "
hu13812F,brown,Dark,Born blond
huC11596,brown,ash brown,"Born black, fell out, turned red-blonde then straight blonde by the time I was 1 years old.  Then it gradually darkened with age.  By 18, I straddled the blonde/brown divide, and when I was 30, it was still light brown, but now at 35, it's medium brown and still getting darker!  Zero gray.  Not a single hair.  But one grandmother was completely gray at 40, while my paternal grandmother never got gray hair and died in her 90s."
hu8A71D6,brown,"Texture is very fine. Amount is ""more than average"" per hairdressers. Stick straight.","I have extremely fine hair similar in width to that of a baby's.  The amount of hair on head is above average per hairdressers. It takes a long time to dry per hairdressers. I'm also hirsute and have had laser hair removal to full legs. I was born with red hair that quickly developed into blond that first year until i was about 3 y.o. Then it turned to light brown, then to dark brown with red highlights. Now just mousy brown. No gray. Stick straight. Hard to hold any style. Prominent part in scalp. Blue toned scalp. 

My mother has red hair and everyone on her side is blonde or red with stick straight hair. Everyone's hair on my dad's side is black and wavy or curly.  I have wiry black and thick eyebrows like everyone on my dad's side.  "
hu8E2A35,brown,brown,Same color as long as I can remember
huA9A9EE,gray,gray,
hu27E03F,brown,Sandy brown,Very blonde when young & have become darker through the years
hu88D1FC,brown,,
hu4DB380,blonde,,
huF91B66,brown,Coarse and curly,"I was born with a full head of black hair. Up until puberty I had fine, straight, blonde hair."
huE753C3,brown,light brown,
huADA07D,brown,,
huEEE6E8,gray,Salt and pepper,Black.
hu01FCAD,brown,Sandy Brown,
hu6578EA,brown,light brown,
huAD98C9,gray,,
huEB7553,brown,"Brown, copper highlights in front.",
hu5AE862,brown,Dark brown,My hair was much lighter (dirty blond) as a child and darkened as I aged.
hu592A16,blonde,light blonde,I had curly hair when I was a toddler. Now it's straight and has a very fine composition.
huB4940E,brown,Dark Brown,Same color as when I was a baby
hu3BBB0F,brown,My hair is light brown and faded from blonde,"is a young child my hair was very light blonde, is 18 through 20's it was honey blonde and currently at age 55 it's  medium brown with natural light brown highlights and beginnings of some gray hairs around my face"
hu620F18,brown,,"Born with curly red hair that was a deep cherry red, not orange.  It lightened to a honey blonde, then went brown as I aged.  "
hu155D20,brown,brown,I was born with dirty blonde hair. It eventually turned brown over time.
hu63B0BA,gray,dark brown,"I had jet black hair as a child, just like my mom. My hair as an adult can be described as a very dark brown, now it has sections of gray in it unless I color it!"
hu69F26B,brown,Medium brown,Born with the same color hair. It shows blonde or reddish highlights when exposed to a lot of sun over time.
hu30804D,brown,some gray,"My hair is fine, and I was more blond as a child."
hu6BA24C,blonde,dirty blonde,
hu45BAB6,black,,
huC4A276,gray,Blonde grey white?  Silver?  ,"Very blonde until I had my ovaries removed, then suddenly pretty darn white.  Some silver coming in in my 30's"
hu488F89,,flat brown with grey/white mixed in,"since my last haircut my hair is a flat brown with grey/white mixed in, the tips have a small amount of faded red. the brown is very dark on me, but probably is a medium ash brown"
hu20289E,gray,gray,used to be blonde
huDEF76C,brown,Light brown few strands turning gray,Old black and white photos show my hair almost blond.
hu602487,,"White in front, grey mixed with light brown behind.","As a baby and toddler I had very light blond hair -- it looks white in photos. 
It darkened to dark blond by my 20's, with lighter blond in the front (naturally). 

It stayed that way until it began to go grey, then the rest darkened to brown and grey. "
hu5AE84D,brown,Brown.,"I was blond as a child. 

My hair has many different colors and textures. "
huF1DC30,black,black,
hu0D09BD,red,a browish strawberry blonde,It was redder and lighter when i was younger.
huC244BC,white,white,
hu4CA5B9,brown,borwn,
hu839A25,brown,,"Born blonde, gradually getting darker over 12-15 years. Also, having straight hair when young, getting more curly as time passes"
hu2632E4,blonde,dark blonde,
hu2632E4,blonde,dark blonde,
hu50E540,brown,dark brown,"Born brown, lightened to blonde from approx. age 2 to age 5, darkened back to dark brown"
hu1BD549,brown,Medium to dark brown,I was blone as a child and my hair sun bleaches easily to a lighter color
hu23DF74,gray,gray,was auburn when young to darker brown to gray
hu8D8CFA,black,salt and pepper,"My beard is almost completely white, while my mustache, like the remaining hair on my head, is mostly black with grey mixed in."
huD3A569,gray,salt and pepper grey,male pattern baldness
hu43860C,white,,born platinum blond.  Then reddish light brown.  Then mix of brown-grey-white.
huB220C0,gray,varigated in color,"Born blonde, stayed that way until going gray about two years ago. Very light and wispy as a child. Thicker later. Remains curly."
hu005EB9,brown,black and dark brown with hints of red and gray,"I was born with dark red brown hair, like a chestnut. Before the gray also came in, my hair had strands of black and dark brown with red highlights. So now, I consider myself an aging chestnut in hair color ;)"
hu1ED23F,gray,medium texture,"Hair is gray but have been coloring it for awhile, so I don't know how much is gray"
hu4BE6F2,brown,,"Born blond, turned light brown as I got older, then darker brown in adulthood. At 44, slightly greyed."
huB1488D,,reddish brown but now graying,I was born with blonde hair. It took on both a darker and more reddish hue at about age 13-14. My hair began turning gray at age 23. 
hu9BE3A3,brown,"Brown, greying on mostly sidessides",
hu101EF8,gray,"Use to be brown, a little brown remains at age 82",Born with brown.
hu033AF6,black,black,
hu0B9C47,brown,brown,beard and moustache have a reddish tinge 
hu0B9C47,brown,brown,reddish tinge to beard and moustache
hu1BF153,brown,Sandy,My hair is turning gray and I' m not very excited about it.
hu3D303A,brown,Darkish-brown,Hair was largely blond during early childhood
huED0F40,brown,"Brown w/ smattering of mostly-white, some gray, at temples","Dirty-blonde hair color in early childhood that darkened to a light brown, gradually, between ages 9-12. Alopecia on males from mother's side of family, w/ maternal uncle having receding hairline at 28. Father's side has thick, coarse-haired males. My hair receded somewhat in late 30s, but not tracking to balding"
hu62F5A1,brown,"thin, curly when damp","Born with dark brown, curly hair.  Now I have a lot of grey, but still some light brown and darker brown, as my hair goes down to below my shoulders in the back."
hu24C863,brown,"streaked with white, especially around face",
hu836D0A,brown,brindled,"seem to have hit all colors over the years
born bald til 3 yrs old
white
blond
red
strawberry red
brownish red
darker brownish, brindled
even darker brownish
some white at temples only (@65yrs old)"
hu3E2659,black,,My hair was a medium brown when I was born and now dark black in color. My hair is naturally straight and oily. I have two natural cowlicks one at the edge of my hairline on my forehead's right bang and the second at the back top of my head where the hair spirals.
hu26DA5F,brown,,
huB7EEC5,blonde,,
hu4C7B30,brown,brown,"Thin hair, but quite dense"
hu91FB6B,brown,light brown with blonde highlights,"very light blonde through toddler years,
then increasingly dark blonde in childhood; 
light brown by late adolescence or adulthood;
now lightening as it starts to go gray"
hu151DB6,,light red/brown,
hu39AD6F,brown,,
hu172277,brown,"very dark warm brown (almost black),","my hair got slightly darker as I got older, sometimes gets red-ish in the summer"
hu9CEB09,red,Venetian red,My hair was redder when I was younger.
hu49F623,black,,I had rust reddish hair as a kid before it turned deep dark black hair. at least that is what i was told.  
hu49F623,black,black,
hu3B173B,brown,,as a toddler my hair was more red looking than brown.  As I got older it turned brown.  By the time I was 25 it was becoming gray.  By the time I was 35 it was probably all gray (not sure since I have colored it since age 25)
hu11AE54,blonde,Ranges from a medium brown to a bright blonde. Usually a mixture of both.,I was born with brown hair. It became blonder a few years after.
huD81F3D,brown,Dark brown with gray,
huD50F73,brown,Dark Brown (with some white),
huC434ED,brown,Light brown (Dirty blonde),
huAF3DDC,black,,
huC3B707,brown,medium dark brown with encroaching grey,Hair was blonde at birth and through early childhood but changed to brown.
huEDF7DA,brown,medium brown,
hu4040B8,brown,,
hu3CEAE6,blonde,"golden-blonde, sort of the color of wheat",I was born with jet-black hair that quickly lightened as I got older. It became very blonde by the time I was 3 or 4.
hu9D7653,brown,wavy,Born blonde
hu5FF6B0,brown,brown,
huA5A1D1,brown,,
hu299FA0,brown,shiny brown-auburn,
hu5D9DE3,blonde,,
huCBDC6D,blonde,Blonde,
huC0FD53,black,"Black, with grey from age!",
huC0FD53,black,"Black, with grey due to aging(!)",
