name,hair,hair_detailed,comments
hu52B7E5,red,auburn,"My hair was much more red when I was younger, with more orange tones. It darkened during my twenties to a brownish red."
hu9E6329,brown,dark brown,
huAFA81C,brown,,
huD09534,blonde,"very light brown (""mousy"")","I was born with white hair, and was VERY blond till my early twenties, but it doesn't describe my siblings so I don't know how to explain it"
huFE71F3,red,bright red,
hu7A2F1D,blonde,blond/gray/white,I was born with blond hair that turned to brown and started turning gray in my 50s and white in my 60s. My eyebrows are still brown but turning gray.
huC92BC9,black,,
hu955EE1,brown,Light brown,"My hair has gone white on the sides of my head. (All the males on my father's side of the family eventuallly go completely white.) On the top it is a mix of white and light brown hair.

When I was younger, (especially in my beard) there was always a number of black hairs and the occasional red hair interspersed with the light brown.
"
hu868880,red,Reddish Brown,"photos from my childhood show my hair was very blond and it was often described to me as 'strawberry blonde'... as i've gotten older it has gotten darker. my eyebrows are very blonde, my arm hair is very blonde, but the hair on the rest of my body is darker. and the hair on my head is fairly tinged with grey."
hu60AB7C,brown,Medium brown slowly going Grey.,"My hair seems to have come from my mother who also had very thin hair strands.  Both my Mother and Paternal Grandmother seem to have suffered from a degree of mercury poisoning from Gamma 2 Amalgam fillings.  My paternal grandmother suffered from what appeared to be the uniform loss of about 2/3 of her hair, and grey hair, perhaps from mercury poisoning.  The hairline on my forehead receded while I was homeless, keeping my hair in a pony tail, and unable to wash it regularly.  It has stopped receding since returning to proper hygiene."
hu470099,brown,"Dark Brown, often mistaken for black","Born with lighter brown hair, darkened with age, grey coloration started in 20's an has slowly progress with age"
hu1187FF,brown,medium brown,
huA49E22,brown,"it's brown; perhaps a little lighter than the ""average"" brown hair.",
hu448C4B,blonde,"""arctic blonde""","Born bald. Not balding now, at age 65. Was dark blonde."
hu72C17A,black,black,black
hu05FD49,brown,,born blonde
huF5E0B6,blonde,dark blonde,
hu2DBF2D,blonde,somewhere between light brown and blonde,"When I was a baby my hair was reddish blonde, then as a child it was very light blonde, now (30's) my hair is approaching light brown. "
hu0211D6,brown,auburn,
hu0E7AAF,brown,,"very blonde at least until a few years old, less and less as I got older"
hu040C0A,brown,brown,
hu2FEC01,red,Dark brown to almost black,Was born a strawberry blonde
hu19C09F,brown,brown with some gray,
